	TitleBlock	DescriptionBlock	CourseID	CourseName	Credits	tf_idf_vector	Top10Recommendations
0	ADGD I199  Independent Study in ADGD 0.0-12.0 Credits	Self-directed within the area of study requiring intermittent consultation with a designated instructor.	ADGD I199	Independent Study in ADGD 0.0-1	2.0	[0. 0. 0. ... 0. 0. 0.]	['ADGD I299', 'ADGD I399', 'ADGD I499', 'ANIM I199', 'ANIM I299', 'ANIM I399', 'ANIM I499', 'ARCH I199', 'ARCH I299', 'ARCH I399']
1	ADGD I299  Independent Study in ADGD 0.0-12.0 Credits	Self-directed within the area of study requiring intermittent consultation with a designated instructor.	ADGD I299	Independent Study in ADGD 0.0-1	2.0	[0. 0. 0. ... 0. 0. 0.]	['ADGD I299', 'ADGD I399', 'ADGD I499', 'ANIM I199', 'ANIM I299', 'ANIM I399', 'ANIM I499', 'ARCH I199', 'ARCH I299', 'ARCH I399']
2	ADGD I399  Independent Study in ADGD 0.0-12.0 Credits	Self-directed within the area of study requiring intermittent consultation with a designated instructor.	ADGD I399	Independent Study in ADGD 0.0-1	2.0	[0. 0. 0. ... 0. 0. 0.]	['ADGD I299', 'ADGD I399', 'ADGD I499', 'ANIM I199', 'ANIM I299', 'ANIM I399', 'ANIM I499', 'ARCH I199', 'ARCH I299', 'ARCH I399']
3	ADGD I499  Independent Study in ADGD 0.0-12.0 Credits	Self-directed within the area of study requiring intermittent consultation with a designated instructor.	ADGD I499	Independent Study in ADGD 0.0-1	2.0	[0. 0. 0. ... 0. 0. 0.]	['ADGD I299', 'ADGD I399', 'ADGD I499', 'ANIM I199', 'ANIM I299', 'ANIM I399', 'ANIM I499', 'ARCH I199', 'ARCH I299', 'ARCH I399']
4	ADGD T180  Special Topics in Advertising Design 0.0-12.0 Credits	Topics decided upon by faculty will vary within the area of study.	ADGD T180	Special Topics in Advertising Design 0.0-1	2.0	[0. 0. 0. ... 0. 0. 0.]	['ADGD T280', 'ADGD T380', 'ADGD T480', 'ANIM T180', 'ANIM T280', 'ANIM T380', 'ANIM T480', 'ARCH T180', 'ARCH T280', 'ARCH T380']
5	ADGD T280  Special Topics in Advertising Design 0.0-12.0 Credits	Topics decided upon by faculty will vary within the area of study.	ADGD T280	Special Topics in Advertising Design 0.0-1	2.0	[0. 0. 0. ... 0. 0. 0.]	['ADGD T280', 'ADGD T380', 'ADGD T480', 'ANIM T180', 'ANIM T280', 'ANIM T380', 'ANIM T480', 'ARCH T180', 'ARCH T280', 'ARCH T380']
6	ADGD T380  Special Topics in Advertising Design 0.0-12.0 Credits	Topics decided upon by faculty will vary within the area of study.	ADGD T380	Special Topics in Advertising Design 0.0-1	2.0	[0. 0. 0. ... 0. 0. 0.]	['ADGD T280', 'ADGD T380', 'ADGD T480', 'ANIM T180', 'ANIM T280', 'ANIM T380', 'ANIM T480', 'ARCH T180', 'ARCH T280', 'ARCH T380']
7	ADGD T480  Special Topics in Advertising Design 0.0-12.0 Credits	Topics decided upon by faculty will vary within the area of study.	ADGD T480	Special Topics in Advertising Design 0.0-1	2.0	[0. 0. 0. ... 0. 0. 0.]	['ADGD T280', 'ADGD T380', 'ADGD T480', 'ANIM T180', 'ANIM T280', 'ANIM T380', 'ANIM T480', 'ARCH T180', 'ARCH T280', 'ARCH T380']
8	ANIM 100  Foundational Tools for Animation & VFX 3.0 Credits	Students will learn fundamentals of core tools in Digital Animation & Visual Effects related disciplines. Tools introduced include pixel based image manipulation tools (such as Photoshop), vector based graphics tools (such as Illustrator), video and animation compositing tools (such as After Effects and Nuke) and 3D CGI tools (such as Maya). Animation and visual effects related applications introduced include digital image alteration, digital matte painting, three dimensional type creation, and other foundational animation and visual effects tasks.	ANIM 100	Foundational Tools for Animation & VFX 	3.0	[0. 0. 0. ... 0. 0. 0.]	['VRIM 100', 'ANIM 115', 'DIGM 100', 'FMVD 324', 'ANIM 410', 'ANIM 212', 'ANIM 231', 'ANIM 250', 'ANIM 411', 'ANIM 220']
9	ANIM 110  Digital Imaging for Animation & VFX 3.0 Credits	Students learn foundational image acquisition, lighting and processing techniques and principles utilized in Animation & VFX disciplines. Topics covered include digital still and video imaging and lighting fundamentals for reference and background gathering, texture creation, normal map sampling, spherical and high dynamic range acquisition, location survey and more.	ANIM 110	Digital Imaging for Animation & VFX 	3.0	[0. 0. 0. ... 0. 0. 0.]	['VRIM 110', 'FMTV 110', 'FMVD 110', 'BMES 421', 'BMES 421', 'ANIM 115', 'ANIM 100', 'VSCM 100', 'FMVD 327', 'ANIM 248']
